ENCFF708CBX	ENCFF939LTT	H3K27ac-human	RWPE1	ENCSR203KEU
ENCFF380OTV	ENCFF959FMO	H3K27ac-human	SKNSH	ENCSR564IGJ
ENCFF751YAL	ENCFF687LIL	H3K27ac-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR905TYC
ENCFF403VXK	ENCFF754UFV	H3K27ac-human	GM23338originatedfromGM23248	ENCSR729ENO
ENCFF913EZV	ENCFF980IJT	H3K27ac-human	C42B	ENCSR279KIX
ENCFF025ZEN	ENCFF769UET	H3K27ac-human	22Rv1	ENCSR391NPE
ENCFF085FAH	ENCFF178GZR	H3K27ac-human	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor25days	ENCSR709ABP
ENCFF776HMQ	ENCFF178GZR	H3K27ac-human	foreskinkeratinocytemalenewborn24daystreatedwith12mMcalciumfor25days	ENCSR709ABP
ENCFF382XYO	ENCFF213AZI	H3K27ac-human	epithelialcellofprostatemale	ENCSR910PDW
ENCFF245ORL	ENCFF169DGZ	H3K27ac-human	RWPE2	ENCSR987PNT
